overlap_start,overlap_end,overlap_duration,agent_stime,agent_etime,customer_stime,customer_etime,initiator,file_id
20.0,21.0,1.0,11.5,21,20.0,26.0,Customer,80e5fe02-ec03-4ca5-902a-fdf38e6b7b8a.json
25.0,26.0,1.0,25.0,32,20.0,26.0,Agent,80e5fe02-ec03-4ca5-902a-fdf38e6b7b8a.json
31.0,32.0,1.0,25.0,32,31.0,37.0,Customer,80e5fe02-ec03-4ca5-902a-fdf38e6b7b8a.json
36.0,37.0,1.0,36.0,46,31.0,37.0,Agent,80e5fe02-ec03-4ca5-902a-fdf38e6b7b8a.json
51.0,52.0,1.0,51.0,55,47.0,52.0,Agent,80e5fe02-ec03-4ca5-902a-fdf38e6b7b8a.json
8.0,9.0,1.0,8.0,16,5.5,9.0,Agent,3e6dde01-1a46-42b4-92dd-0a211185e660.json
15.0,16.0,1.0,8.0,16,15.0,21.0,Customer,3e6dde01-1a46-42b4-92dd-0a211185e660.json
20.0,21.0,1.0,20.0,27,15.0,21.0,Agent,3e6dde01-1a46-42b4-92dd-0a211185e660.json
26.0,27.0,1.0,20.0,27,26.0,31.0,Customer,3e6dde01-1a46-42b4-92dd-0a211185e660.json
30.0,31.0,1.0,30.0,39,26.0,31.0,Agent,3e6dde01-1a46-42b4-92dd-0a211185e660.json
38.0,39.0,1.0,30.0,39,38.0,44.0,Customer,3e6dde01-1a46-42b4-92dd-0a211185e660.json
43.0,44.0,1.0,43.0,52,38.0,44.0,Agent,3e6dde01-1a46-42b4-92dd-0a211185e660.json
51.0,52.0,1.0,43.0,52,51.0,56.0,Customer,3e6dde01-1a46-42b4-92dd-0a211185e660.json
55.0,56.0,1.0,55.0,65,51.0,56.0,Agent,3e6dde01-1a46-42b4-92dd-0a211185e660.json
64.0,65.0,1.0,55.0,65,64.0,70.0,Customer,3e6dde01-1a46-42b4-92dd-0a211185e660.json
69.0,70.0,1.0,69.0,77,64.0,70.0,Agent,3e6dde01-1a46-42b4-92dd-0a211185e660.json
76.0,77.0,1.0,69.0,77,76.0,82.0,Customer,3e6dde01-1a46-42b4-92dd-0a211185e660.json
81.0,82.0,1.0,81.0,90,76.0,82.0,Agent,3e6dde01-1a46-42b4-92dd-0a211185e660.json
11.0,12.0,1.0,11.0,22,8.0,12.0,Agent,22dd8271-02f8-46bf-bd4e-28c0692b57d1.json
25.0,26.0,1.0,25.0,32,23.0,26.0,Agent,22dd8271-02f8-46bf-bd4e-28c0692b57d1.json
35.0,36.0,1.0,35.0,45,33.0,36.0,Agent,22dd8271-02f8-46bf-bd4e-28c0692b57d1.json
49.0,50.0,1.0,49.0,58,46.0,50.0,Agent,22dd8271-02f8-46bf-bd4e-28c0692b57d1.json
62.0,63.0,1.0,62.0,72,59.0,63.0,Agent,22dd8271-02f8-46bf-bd4e-28c0692b57d1.json
74.0,75.0,1.0,74.0,83,73.0,75.0,Agent,22dd8271-02f8-46bf-bd4e-28c0692b57d1.json
10.0,11.0,1.0,10.0,18,7.0,11.0,Agent,acec9db1-1209-4f98-881e-6d413e1aba2d.json
20.0,21.0,1.0,20.0,30,19.0,21.0,Agent,acec9db1-1209-4f98-881e-6d413e1aba2d.json
29.0,30.0,1.0,20.0,30,29.0,34.0,Customer,acec9db1-1209-4f98-881e-6d413e1aba2d.json
33.0,34.0,1.0,33.0,40,29.0,34.0,Agent,acec9db1-1209-4f98-881e-6d413e1aba2d.json
39.0,40.0,1.0,33.0,40,39.0,43.0,Customer,acec9db1-1209-4f98-881e-6d413e1aba2d.json
42.0,43.0,1.0,42.0,51,39.0,43.0,Agent,acec9db1-1209-4f98-881e-6d413e1aba2d.json
50.0,51.0,1.0,42.0,51,50.0,55.0,Customer,acec9db1-1209-4f98-881e-6d413e1aba2d.json
54.0,55.0,1.0,54.0,60,50.0,55.0,Agent,acec9db1-1209-4f98-881e-6d413e1aba2d.json
59.0,60.0,1.0,54.0,60,59.0,62.0,Customer,acec9db1-1209-4f98-881e-6d413e1aba2d.json
6.5,7.0,0.5,0.0,7,6.5,10.0,Customer,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
9.0,10.0,1.0,9.0,20,6.5,10.0,Agent,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
19.0,20.0,1.0,9.0,20,19.0,23.0,Customer,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
22.0,23.0,1.0,22.0,30,19.0,23.0,Agent,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
29.0,30.0,1.0,22.0,30,29.0,34.0,Customer,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
33.0,34.0,1.0,33.0,45,29.0,34.0,Agent,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
44.0,45.0,1.0,33.0,45,44.0,50.0,Customer,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
49.0,50.0,1.0,49.0,62,44.0,50.0,Agent,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
61.0,62.0,1.0,49.0,62,61.0,64.0,Customer,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
63.0,64.0,1.0,63.0,74,61.0,64.0,Agent,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
73.0,74.0,1.0,63.0,74,73.0,75.0,Customer,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
74.0,75.0,1.0,74.0,80,73.0,75.0,Agent,6d0dd32e-cc1e-4624-88f9-2bb70db56f1c.json
11.0,12.0,1.0,11.0,23,8.0,12.0,Agent,f2c33efc-17f4-4e42-ab36-8394328d9591.json
26.0,27.0,1.0,26.0,34,24.0,27.0,Agent,f2c33efc-17f4-4e42-ab36-8394328d9591.json
39.0,40.0,1.0,39.0,50,35.0,40.0,Agent,f2c33efc-17f4-4e42-ab36-8394328d9591.json
54.0,55.0,1.0,54.0,66,51.0,55.0,Agent,f2c33efc-17f4-4e42-ab36-8394328d9591.json
69.0,70.0,1.0,69.0,80,67.0,70.0,Agent,f2c33efc-17f4-4e42-ab36-8394328d9591.json
6.5,7.0,0.5,0.0,7,6.5,10.0,Customer,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
9.0,10.0,1.0,9.0,19,6.5,10.0,Agent,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
18.0,19.0,1.0,9.0,19,18.0,21.0,Customer,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
20.0,21.0,1.0,20.0,28,18.0,21.0,Agent,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
27.0,28.0,1.0,20.0,28,27.0,30.0,Customer,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
29.0,30.0,1.0,29.0,38,27.0,30.0,Agent,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
37.0,38.0,1.0,29.0,38,37.0,41.0,Customer,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
40.0,41.0,1.0,40.0,50,37.0,41.0,Agent,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
49.0,50.0,1.0,40.0,50,49.0,52.0,Customer,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
51.0,52.0,1.0,51.0,58,49.0,52.0,Agent,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
57.0,58.0,1.0,51.0,58,57.0,60.0,Customer,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
59.0,60.0,1.0,59.0,63,57.0,60.0,Agent,b3cc69d6-7e4d-46bc-908f-29f15cebac61.json
9.0,10.0,1.0,9.0,22,6.5,10.0,Agent,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
24.0,25.0,1.0,24.0,29,22.5,25.0,Agent,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
28.0,29.0,1.0,24.0,29,28.0,31.0,Customer,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
30.0,31.0,1.0,30.0,43,28.0,31.0,Agent,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
42.0,43.0,1.0,30.0,43,42.0,48.0,Customer,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
47.0,48.0,1.0,47.0,55,42.0,48.0,Agent,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
54.0,55.0,1.0,47.0,55,54.0,58.0,Customer,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
57.0,58.0,1.0,57.0,62,54.0,58.0,Agent,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
66.0,67.0,1.0,66.0,73,63.0,67.0,Agent,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
72.0,73.0,1.0,66.0,73,72.0,75.0,Customer,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
74.0,75.0,1.0,74.0,80,72.0,75.0,Agent,c1cf9a45-0a69-4543-9994-117bdd4fdaaf.json
13.0,14.0,1.0,13.0,19,11.0,14.0,Agent,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
23.0,24.0,1.0,23.0,32,20.0,24.0,Agent,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
31.0,32.0,1.0,23.0,32,31.0,36.0,Customer,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
35.0,36.0,1.0,35.0,43,31.0,36.0,Agent,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
42.0,43.0,1.0,35.0,43,42.0,48.0,Customer,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
47.0,48.0,1.0,47.0,55,42.0,48.0,Agent,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
54.0,55.0,1.0,47.0,55,54.0,60.0,Customer,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
59.0,60.0,1.0,59.0,67,54.0,60.0,Agent,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
66.0,67.0,1.0,59.0,67,66.0,72.0,Customer,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
71.0,72.0,1.0,71.0,78,66.0,72.0,Agent,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
77.0,78.0,1.0,71.0,78,77.0,83.0,Customer,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
82.0,83.0,1.0,82.0,90,77.0,83.0,Agent,89d28c5a-f0da-41e9-a93e-0a749c20189c.json
4.5,5.0,0.5,0.0,5,4.5,10.0,Customer,d7bbea61-d739-43fb-a198-ced1b59f9491.json
9.0,10.0,1.0,9.0,15,4.5,10.0,Agent,d7bbea61-d739-43fb-a198-ced1b59f9491.json
14.0,15.0,1.0,9.0,15,14.0,20.0,Customer,d7bbea61-d739-43fb-a198-ced1b59f9491.json
19.0,20.0,1.0,19.0,26,14.0,20.0,Agent,d7bbea61-d739-43fb-a198-ced1b59f9491.json
25.0,26.0,1.0,19.0,26,25.0,32.0,Customer,d7bbea61-d739-43fb-a198-ced1b59f9491.json
31.0,32.0,1.0,31.0,37,25.0,32.0,Agent,d7bbea61-d739-43fb-a198-ced1b59f9491.json
36.0,37.0,1.0,31.0,37,36.0,41.0,Customer,d7bbea61-d739-43fb-a198-ced1b59f9491.json
40.0,41.0,1.0,40.0,48,36.0,41.0,Agent,d7bbea61-d739-43fb-a198-ced1b59f9491.json
47.0,48.0,1.0,40.0,48,47.0,53.0,Customer,d7bbea61-d739-43fb-a198-ced1b59f9491.json
52.0,53.0,1.0,52.0,59,47.0,53.0,Agent,d7bbea61-d739-43fb-a198-ced1b59f9491.json
58.0,59.0,1.0,52.0,59,58.0,63.0,Customer,d7bbea61-d739-43fb-a198-ced1b59f9491.json
62.0,63.0,1.0,62.0,65,58.0,63.0,Agent,d7bbea61-d739-43fb-a198-ced1b59f9491.json
11.0,12.0,1.0,11.0,22,8.0,12.0,Agent,23712d70-65df-47f3-8b69-fe2682aebc70.json
25.0,26.0,1.0,25.0,31,23.0,26.0,Agent,23712d70-65df-47f3-8b69-fe2682aebc70.json
37.0,38.0,1.0,37.0,48,32.0,38.0,Agent,23712d70-65df-47f3-8b69-fe2682aebc70.json
53.0,54.0,1.0,53.0,60,49.0,54.0,Agent,23712d70-65df-47f3-8b69-fe2682aebc70.json
63.0,64.0,1.0,63.0,73,61.0,64.0,Agent,23712d70-65df-47f3-8b69-fe2682aebc70.json
76.0,77.0,1.0,76.0,82,74.0,77.0,Agent,23712d70-65df-47f3-8b69-fe2682aebc70.json
12.0,13.0,1.0,12.0,22,8.0,13.0,Agent,367fd789-cfa1-458b-b005-4a846f6769d9.json
26.0,27.0,1.0,26.0,32,23.0,27.0,Agent,367fd789-cfa1-458b-b005-4a846f6769d9.json
35.0,36.0,1.0,35.0,45,33.0,36.0,Agent,367fd789-cfa1-458b-b005-4a846f6769d9.json
49.0,50.0,1.0,49.0,58,46.0,50.0,Agent,367fd789-cfa1-458b-b005-4a846f6769d9.json
62.0,63.0,1.0,62.0,73,59.0,63.0,Agent,367fd789-cfa1-458b-b005-4a846f6769d9.json
77.0,78.0,1.0,77.0,85,74.0,78.0,Agent,367fd789-cfa1-458b-b005-4a846f6769d9.json
10.0,11.0,1.0,10.0,20,8.0,11.0,Agent,911b0b97-93ec-49b4-a0ac-7a76dd6a40ce.json
23.0,24.0,1.0,23.0,29,21.0,24.0,Agent,911b0b97-93ec-49b4-a0ac-7a76dd6a40ce.json
33.0,34.0,1.0,33.0,42,30.0,34.0,Agent,911b0b97-93ec-49b4-a0ac-7a76dd6a40ce.json
41.0,42.0,1.0,33.0,42,41.0,44.0,Customer,911b0b97-93ec-49b4-a0ac-7a76dd6a40ce.json
43.0,44.0,1.0,43.0,49,41.0,44.0,Agent,911b0b97-93ec-49b4-a0ac-7a76dd6a40ce.json
53.0,54.0,1.0,53.0,62,50.0,54.0,Agent,911b0b97-93ec-49b4-a0ac-7a76dd6a40ce.json
61.0,62.0,1.0,53.0,62,61.0,65.0,Customer,911b0b97-93ec-49b4-a0ac-7a76dd6a40ce.json
64.0,65.0,1.0,64.0,68,61.0,65.0,Agent,911b0b97-93ec-49b4-a0ac-7a76dd6a40ce.json
11.0,12.0,1.0,11.0,22,8.0,12.0,Agent,66783778-028a-45ff-b1b0-f5c0ea759950.json
25.0,26.0,1.0,25.0,32,23.0,26.0,Agent,66783778-028a-45ff-b1b0-f5c0ea759950.json
37.0,38.0,1.0,37.0,50,33.0,38.0,Agent,66783778-028a-45ff-b1b0-f5c0ea759950.json
55.0,56.0,1.0,55.0,62,51.0,56.0,Agent,66783778-028a-45ff-b1b0-f5c0ea759950.json
65.0,66.0,1.0,65.0,72,63.0,66.0,Agent,66783778-028a-45ff-b1b0-f5c0ea759950.json
77.0,78.0,1.0,77.0,83,73.0,78.0,Agent,66783778-028a-45ff-b1b0-f5c0ea759950.json
11.0,12.0,1.0,11.0,20,8.0,12.0,Agent,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
19.0,20.0,1.0,11.0,20,19.0,22.0,Customer,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
21.0,22.0,1.0,21.0,30,19.0,22.0,Agent,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
29.0,30.0,1.0,21.0,30,29.0,35.0,Customer,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
34.0,35.0,1.0,34.0,45,29.0,35.0,Agent,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
44.0,45.0,1.0,34.0,45,44.0,49.0,Customer,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
48.0,49.0,1.0,48.0,58,44.0,49.0,Agent,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
57.0,58.0,1.0,48.0,58,57.0,61.0,Customer,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
60.0,61.0,1.0,60.0,67,57.0,61.0,Agent,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
66.0,67.0,1.0,60.0,67,66.0,70.0,Customer,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
69.0,70.0,1.0,69.0,76,66.0,70.0,Agent,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
75.0,76.0,1.0,69.0,76,75.0,80.0,Customer,ce11850d-6743-47cc-be50-2ffda1d2ea0e.json
11.0,12.0,1.0,11.0,20,8.5,12.0,Agent,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
19.0,20.0,1.0,11.0,20,19.0,23.0,Customer,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
22.0,23.0,1.0,22.0,30,19.0,23.0,Agent,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
29.0,30.0,1.0,22.0,30,29.0,34.0,Customer,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
33.0,34.0,1.0,33.0,42,29.0,34.0,Agent,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
41.0,42.0,1.0,33.0,42,41.0,46.0,Customer,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
45.0,46.0,1.0,45.0,54,41.0,46.0,Agent,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
53.0,54.0,1.0,45.0,54,53.0,57.0,Customer,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
56.0,57.0,1.0,56.0,65,53.0,57.0,Agent,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
64.0,65.0,1.0,56.0,65,64.0,66.0,Customer,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
65.0,66.0,1.0,65.0,74,64.0,66.0,Agent,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
73.0,74.0,1.0,65.0,74,73.0,78.0,Customer,ab0a99e3-48f9-430b-9d6c-c5cadd5618de.json
11.0,12.0,1.0,11.0,20,8.0,12.0,Agent,dd662920-e3e6-45da-a97c-a59ed0971b60.json
23.0,24.0,1.0,23.0,32,21.0,24.0,Agent,dd662920-e3e6-45da-a97c-a59ed0971b60.json
36.0,37.0,1.0,36.0,46,33.0,37.0,Agent,dd662920-e3e6-45da-a97c-a59ed0971b60.json
51.0,52.0,1.0,51.0,59,47.0,52.0,Agent,dd662920-e3e6-45da-a97c-a59ed0971b60.json
63.0,64.0,1.0,63.0,72,60.0,64.0,Agent,dd662920-e3e6-45da-a97c-a59ed0971b60.json
74.0,75.0,1.0,74.0,80,73.0,75.0,Agent,dd662920-e3e6-45da-a97c-a59ed0971b60.json
9.0,10.0,1.0,9.0,17,6.0,10.0,Agent,39c3e29c-7b7c-43d2-999b-eb473ec31de3.json
20.0,21.0,1.0,20.0,27,18.0,21.0,Agent,39c3e29c-7b7c-43d2-999b-eb473ec31de3.json
40.0,41.0,1.0,40.0,47,37.0,41.0,Agent,39c3e29c-7b7c-43d2-999b-eb473ec31de3.json
52.0,53.0,1.0,52.0,56,48.0,53.0,Agent,39c3e29c-7b7c-43d2-999b-eb473ec31de3.json
10.0,11.0,1.0,10.0,22,8.0,11.0,Agent,66ad6c2b-1019-4032-945a-41fa5d16f57f.json
25.0,26.0,1.0,25.0,34,23.0,26.0,Agent,66ad6c2b-1019-4032-945a-41fa5d16f57f.json
38.0,39.0,1.0,38.0,48,35.0,39.0,Agent,66ad6c2b-1019-4032-945a-41fa5d16f57f.json
53.0,54.0,1.0,53.0,62,49.0,54.0,Agent,66ad6c2b-1019-4032-945a-41fa5d16f57f.json
66.0,67.0,1.0,66.0,73,63.0,67.0,Agent,66ad6c2b-1019-4032-945a-41fa5d16f57f.json
75.0,76.0,1.0,75.0,81,74.0,76.0,Agent,66ad6c2b-1019-4032-945a-41fa5d16f57f.json
7.0,8.0,1.0,0.0,8,7.0,13.0,Customer,9505f0e7-5404-4f50-a497-35a9e899197c.json
12.0,13.0,1.0,12.0,20,7.0,13.0,Agent,9505f0e7-5404-4f50-a497-35a9e899197c.json
19.0,20.0,1.0,12.0,20,19.0,23.0,Customer,9505f0e7-5404-4f50-a497-35a9e899197c.json
22.0,23.0,1.0,22.0,30,19.0,23.0,Agent,9505f0e7-5404-4f50-a497-35a9e899197c.json
29.0,30.0,1.0,22.0,30,29.0,35.0,Customer,9505f0e7-5404-4f50-a497-35a9e899197c.json
34.0,35.0,1.0,34.0,42,29.0,35.0,Agent,9505f0e7-5404-4f50-a497-35a9e899197c.json
41.0,42.0,1.0,34.0,42,41.0,48.0,Customer,9505f0e7-5404-4f50-a497-35a9e899197c.json
47.0,48.0,1.0,47.0,55,41.0,48.0,Agent,9505f0e7-5404-4f50-a497-35a9e899197c.json
54.0,55.0,1.0,47.0,55,54.0,59.0,Customer,9505f0e7-5404-4f50-a497-35a9e899197c.json
58.0,59.0,1.0,58.0,65,54.0,59.0,Agent,9505f0e7-5404-4f50-a497-35a9e899197c.json
64.0,65.0,1.0,58.0,65,64.0,69.0,Customer,9505f0e7-5404-4f50-a497-35a9e899197c.json
68.0,69.0,1.0,68.0,76,64.0,69.0,Agent,9505f0e7-5404-4f50-a497-35a9e899197c.json
75.0,76.0,1.0,68.0,76,75.0,80.0,Customer,9505f0e7-5404-4f50-a497-35a9e899197c.json
79.0,80.0,1.0,79.0,83,75.0,80.0,Agent,9505f0e7-5404-4f50-a497-35a9e899197c.json
11.0,12.0,1.0,11.0,22,7.5,12.0,Agent,7419fc47-2a8a-4203-868f-73e562aeae64.json
